u_applications_impacted,dv_u_business_segments,dv_u_alert_generated_from_monitoring,u_root_cause_owner,dv_priority,dv_category,dv_contact_type,dv_short_description,dv_company,dv_close_code,dv_u_incident_cause_code,u_root_cause_breakdown,u_summary_impact_root_summary,u_alert_to_who,clean_date,year,application_category
Data Navigator,BSG,No Known Alert,FIS,Priority 3,Application,Self-service,Data Navigator unavailable due to long running maintenance,FIS,Solved (Permanently),Change induced,change deployment,Data Navigator was unavailable for clients due to long running maintenance release.,Unknown,2023-02-26 17:40:42,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Network,Alert,Norcross EFT / Mid Central Savings not connecting to BDOC Post DRE,FIS,Solved (Permanently),Change induced,change deployment,Norcross EFT / Mid Central Savings not connecting to BDOC Post DRE.  The root cause is still being investigated.,Unknown,2023-03-06 13:18:06,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Mainframe,Self-service,Bankway/Autoloader appears to be malfunctioning,FIS,Solved (Permanently),Process issue,change deployment,There was an incident that impacted the Bankway Region Autoloader.    Status of file corrected to allow the ACH files to process.   ,Unknown,2023-03-13 17:31:46,2023,Unknown
Client Portal,BSG,No Known Alert,FIS,Priority 4,Application,Self-service,Client Portal / Clients were unable to access the application.,Randolph-Brooks Federal Credit Union,Solved (Permanently),Configuration issue,configuration,Clients were unable to access the Client Portal application due to the incorrect data for my.fisglobal.com that was included in the reverse proxy cleanup of old configurations.,Unknown,2023-01-05 01:51:58,2023,Other
ImageCentre,BSG,Other,FIS,Priority 3,Application,Self-service,ImageCentre / LR10 Service Account Locked out,FIS,Solved (Permanently),Application issue,service id,Clients on LR10 was unable to access ImageCenter due to the affected server causing the service account to lockup. Root cause is under investigation.,Alerts were generated from the Tryambak tool and were sent to the ImageCentre app support team.,2023-01-06 14:49:19,2023,Image/Doc
"XWFLOKYDLINET01
XWFLOKYDLINET02",BSG,No Known Alert,FIS,Priority 3,Application,Self-service,Ensenta clients reported they were unable to receive check images for ATM deposits.,FIS,Solved (Permanently),Change induced,configuration,Ensenta clients were unable to connect to FIS due to a connectivity issue with network switch configuration.  Root cause is under investigation. ,Unknown,2023-01-18 21:00:41,2023,Other
IBS World Markets,BSG,Other,FIS,Priority 4,Monitoring,Self-service,IBS World Markets / The application was unavailable for single client TIAA Bank,FIS,Solved (Permanently),Hardware failure,hardware,The IBS World Markets application is unavailable for TIAA Bank due to Hard Disk drives failures in the application array.,The application support team has identified via OEM Alerts and Batch Scripts alerts that the IBS World Markets application is unable to connect to the database THPRD01 server.,2023-02-03 12:26:57,2023,Core Banking
Prisma access,"CM, BSG, CORP",No Known Alert,tbd,Priority 5,Network,Self-service,Global Protect / Some users were experiencing latency ,FIS,Solved (Permanently),Undetermined,load,"There was an issue in the US southeast for a locked-up gateway that caused some users latency. The southeast is where we have the most users.  The system auto-moved users to other gateways across the US, but those gateways had to auto-scale up to handle the load.   The latency was felt until everything scaled up.",Unknown,2023-02-02 17:06:34,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Email,GETPAID / Some clients are not able to access the application,FIS,Solved (Permanently),Application issue,performance,Some clients were unable to access GetPaid. The root cause is under investigation.,Unknown,2023-02-19 06:58:06,2023,Unknown
"DigitalOne (Business, CIT, CAX, FHB), Open Payments Framework (OPF), Mobile Banking (MB1, MB2, MB5, MB6), Electronics Benefit Transfer (EBT) National Card Holder (NCH) and California Card Holder (CA CH) applications, Business eBanking (BeB), Enterprise Authentication Management (EAM)",BSG,Other,FIS,Priority 3,Application,Email,PHX Network / High response time and drop in traffic for a subset of applications,FIS,Solved (workaround),Connectivity issue,unknown,High response time and drop in traffic for a subset of applications in the Phoenix Data Center due to load balancer HA (High Availability) switchover.,NOC received the alert regarding the load balancer switchover. Application/Operations teams also received an alert via their monitoring tool. ,2023-03-14 05:19:10,2023,Digital
"
Reported Impact is broken down based on business service:

BSG: Commercial Capture, Xpress Deposit, Consumer eBanking, Ezcard, EzBusiness, Ezcard Target, OPA, NCH, CA-CH, Rest API, Digital One Business, Digital One HWB, Digital One, Online Account Open,  Business eBanking, CIT, BOH, CAX, AAA, BMO, FHB, Flex, Mobile, Integrated Payables, Decision Solutions, Qualifile, IDV, IDA, OFAC, Code Connect. 

MS: triPOS cloud, Integrated Payments: Express, Integrated Payments MercuryPay, RAFT, Worldpay Dashboard, Storage Manager. ","BSG, MS, CM",Other,Vendor,Priority 3,Application,Email,Drop in Traffic Through Akamai / Impacted BSG and MS Apps,FIS,Solved (Permanently),Power outage,unknown,"The applications behind Akamai for Banking Solutions, Merchant Solutions and Capital Markets were impacted due to a drop in traffic observed across all data centres. Root cause is under investigation.",Thousand Eyes Alerts,2023-03-16 16:59:04,2023,Digital
Get Paid ,BSG,Other,FIS,Priority 4,General Technical,Email,Get Paid  / FTP Permission issue on NA1 and NA2 PROD servers,FIS,Closed/Resolved by Caller,Access issue,service id,FTP Permission issue on GetPaid's NA1 and NA2 Production servers due to a locked Bitvise account.,GetPaid team received multiple Splunk alerts.,2023-03-24 16:58:04,2023,Other
Norcross,BSG,No Known Alert,FIS,Priority 3,Transaction Processing,Self-service,Norcross / Clients reporting transaction declines ,FIS,Solved (workaround),Human error,configuration,Norcross clients reported declines due to Advance Risk Blocking (ARB) rules.,Unknown,2023-03-31 22:54:30,2023,Other
Unspecified Applications,BSG,No Known Alert,Vendor,Priority 5,Network,Self-service,Horizon IVR / Some banks are not receiving calls.,FIS,Solved (workaround),Connectivity issue,vendor circuit,"HORIZON IVR was down due to a lumen circuit issue in LRK (Tornado), Teams raised an ECR CH23001304303 to restore service.",Unknown,2023-04-01 05:29:22,2023,Unknown
Unspecified Applications,BSG,No Known Alert,external,Priority 5,Network,Self-service,Single bank BankTennessee is not able to access ImageCentre and Horizon,FIS,Solved (workaround),Connectivity issue,vendor circuit,"Single client, BankTennessee was not able to access Image Centre and Horizon due to the Lumen circuit issue. ",Unknown,2023-04-05 02:30:29,2023,Unknown
Unspecified Applications,BSG,No Known Alert,external,Priority 5,General Technical,Self-service,Power outages at the Norcross data center yesterday. Power is back up but nothing is online. Unable to connect to internet and all devices cant connect,FIS,Solved (workaround),Connectivity issue,vendor circuit,FIS Norcross production traffic was down due to the Little Rock Lumen circuit issue. ,Unknown,2023-04-04 22:21:50,2023,Unknown
Modern Banking Platform API OPF Amex CallsDigital One for Citizens Access (CAX) and Bank of Montreal (BMO),BSG,Other,Client,Priority 4,Application,Alert,MBP Amex / Intermittent increased response times and API failures.,FIS,Solved (Permanently),Application issue,change deployment,Modern Banking Platform (MBP) experienced increased response times and API failures for client AMEX.  Root cause is under investigation.,App Team received the alerts.,2023-02-22 08:07:12,2023,Digital
Validation Engine ,BSG,Other,FIS,Priority 5,Application,Email,Validation Engine failure for CIT - Failed,FIS,Solved (Permanently),Hardware failure,hardware,"There was an issue with an internal server causing intermittent failures for Digital Account Creation, Consumer eBanking (CeB), FIS external transfers and Digital One Account Open application due to a bad JVM on the Validation Engine application. ",The team did receive an alert for JVM threadpool max.  Need to investigate further what actions should have occurred at that time.,2023-03-08 16:01:28,2023,Other
"GetPaid, App CLI PRD GETPAID",BSG,No Known Alert,FIS,Priority 3,Network,Phone,GetPaid / Some single tenant clients reported  FTP slowness.,FIS,Solved (workaround),Undetermined,unknown,Single tenant clients experienced latency with SFTP transfers. Root cause is under investigation. ,Unknown,2023-03-10 15:27:32,2023,Other
Bankway,BSG,Other,FIS,Priority 3,Application,Email,Bankway / Core is unavailable for 4 clients,FIS,Solved (workaround),Undetermined,unknown,Adjacent banks in a region lost access to Bankway Core Banking system due to RiverWind Bank's migration process to Bankway Core Banking system.,Bankway Production Operations,2023-03-11 19:40:41,2023,Core Banking
Telephony - Interactive Voice Response (IVR),BSG,No Known Alert,FIS,Priority 3,General Technical,Self-service,IVR / Cardholders unable to activate cards or change pin numbers across for some phone lines,IVR Energieverteilungen GmbH,Solved (Permanently),Configuration issue,change deployment,Cardholders were unable to activate cards or change PINs via Interactive Voice Response (IVR) due to an incorrect entry in the BIN transfer table.,Unknown,2023-03-16 15:30:42,2023,Other
"FIS eAccess, EBT Edge, Decision Solutions eAccess Portal, Decision Solutions Reports Portal, UserAdmin, DataNavigator  (P6 & P7 were impacted), mConsole (SecurLOCK Equip)-(Access was impacted however no impacts to card controls transaction processing/decisioning.)",BSG,No Known Alert,FIS,Priority 3,Application,Self-service,eAccess/UserAdmin Proxy errors affecting Single Sign-on,FIS,No Action Taken,Undetermined,performance,eAccess/UserAdmin Proxy errors affecting Single Sign-on.  The root cause is still under investigation.,Unknown,2023-03-28 03:24:34,2023,Security
"Billpay, Zelle, Payment Manager Consumer-BPPMC",BSG,Other,FIS,Priority 2,Application,Email,Billpay and Zelle experienced response time spikes.,FIS,Solved (workaround),Undetermined,disk space,Billpay and Zelle experienced high response time spikes.  Root cause is under investigation.,"14:23 CT - NOC: Load Balancer failover. 
14:26 CT - DIH: DB out of process memory error ORA-04030",2023-04-04 21:48:44,2023,Payments
Mobile Banking,BSG,No Known Alert,Client,Priority 5,Network,Self-service,Ozona Bank was unable to connect to Mobile Banking application,FIS,Solved (Permanently),Access issue,configuration,"Ozona Bank was unable to connect to the Mobile Banking application. The client performed a change that caused FIS VCE onb-fislittlerock-520 to become inaccessible.  The ticket was promoted for ECR purposes, the device was rebooted mitigating the impact. ",Unknown,2023-04-06 16:54:09,2023,Digital
TBD,BSG,No Known Alert,FIS,Priority 3,Application,Email,Single client- Mitsubishi Union Bank connectivity issue.,FIS,Solved (workaround),Undetermined,operational cadence,"Single client, Mitsubishi Union Bank experienced connectivity issue, due to a network shared file system server reboot.",Unknown,2023-04-20 04:38:40,2023,Other
"Billpay, Zelle",BSG,Other,FIS,Priority 2,Application,Alert,BillPay / Zelle / Response time spike affecting users ,FIS,Solved (workaround),Application issue,performance,An issue affected the availability and functionalities of BillPay and Zelle applications. The root cause is still under investigation.,Oracle DBA Support; Mobile Money Service Delivery,2023-05-05 00:59:01,2023,Payments
Horizon XE,BSG,Other,fis vendor,Priority 3,Application,Self-service,Horizon XE / Deposits Origination unavailable for some clients,FIS,Solved (workaround),Undetermined,external,"Horizon XE some clients experienced deposit origination issues due to a connectivity issue with vendor CSI.

",Horizon Application Support,2023-05-17 19:16:43,2023,Core Banking
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Email,ChexSystems / New User Registration Email Issue,FIS,Solved (workaround),Coding/script,code,"The new consumer registration ""Welcome"" email was showing XML data tags with all the content entered by the user on the ChexSystems page due to a custom change made by Decision Solutions firm owner in the User Create Password Email template. ",Unknown,2023-03-31 04:33:08,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Network,Email,Fidelity Bank / Customer-owned circuit in Little Rock went down.,FIS,Solved (Permanently),Connectivity issue,vendor circuit,Fidelity Bank was down due to a Lumen circuit issue in LRK (Tornado). Teams raised an ECR CH23001304640 to restore service.,Unknown,2023-04-02 03:50:10,2023,Unknown
Unspecified Applications,BSG,SnowCentral Event,FIS,Priority 5,Voice Video Services,Self-service,IST Switch / Chevron seeing timeouts ,FIS,Solved (workaround),Application issue,performance,"To stop the impact to business - traffic flow was put in Maintenance i.e. no transaction will flow through it 
All traffic was redirected to West regions
CHASE Formater restarted - which resulted in echo msgs to successfully come in - with success - traffic was redirected to be hot -hot - no issues receieved",AU IST Paypal and Transaction processing team,2023-04-07 20:50:56,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,Automated consumer notifications card holder update issue,FIS,Solved (Permanently),Human error,human error,"Automated Consumer notification mailer insert error.  Support team determine issue was caused by human error while printing file.  Education and new process were put in place to prevent this issue in future.
",Unknown,2023-04-18 17:00:07,2023,Unknown
FIS eAccess,BSG,No Known Alert,FIS,Priority 5,Application,Chat,PH agents (both remote & office) are getting error when we access data navigator in EFUNDS,FIS,Solved (Permanently),Change induced,change deployment,Philippines and Brazil FIS staff reported that they were unable to access FIS eAccess site due to an error requesting a new IP for IdP.,Unknown,2023-04-18 18:44:38,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,VDI,Chat,Issue: VDI (Storage Hardware) Issue,FIS,Solved (Permanently),Change induced,change window,Philippines Manila site was unable to connect to any applications on the network due to a scheduled Maintenance change.,Unknown,2023-04-18 21:13:30,2023,Unknown
StarView,BSG,No Known Alert,FIS,Priority 3,General Technical,Self-service,StarView - Client accessibility issues,FIS,Solved (Permanently),Change induced,change validation,Clients were unable to access the StarView application due to parameters issue following a StarView mainframe upgrade.,Unknown,2023-05-24 02:49:37,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Transaction Processing,Self-service,"PaymentOne/Discover Financial  services, Failures for activation and Pin Change",FIS,Solved (Permanently),Connectivity issue,unknown,IN23010420597 - PaymentOne/ Failures for activation and Pin Change.  Mitigated issue by switching traffic from Phoenix to BDOC,Unknown,2023-06-05 17:00:17,2023,Unknown
EFT Services - Milwaukee-Brown Deer (BCFS Switch),BSG,Other,FIS,Priority 1,General Technical,Self-service,BDOC BCFS / Transactions are being declined for DebitCard,FIS,Solved (Permanently),Change induced,change validation,BCFS transactions in BDOC not processing due to institutions being inadvertently deleted during a maintenance change. ,Please note we need to discuss monitoring further on the PIR to see if appropriate alerting is set up and triggered as expected.  It was mentioned there was some alerting but need to get a better understanding on the PIR.,2023-06-12 15:54:19,2023,Cards
Unspecified Applications,BSG,Other,Client,Priority 5,Application,Email,QualiFile/ChexSystems Discovery ERROR Due to Bad Traffic ,FIS,Solved (workaround),Process issue,human error,"ASSOCIATED CREDIT UNION OF TEXAS was sending bad data into Qualifile causing mainframe resource shortages, They were suspended as a normal business practice until traffic quality can be adjusted ",DSS app team for Qualifile . ,2023-06-16 16:22:10,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Database,Self-service,Treasury Banking & Payments: Certegy Check Settlement files did not Process,FIS,Solved (Permanently),Application issue,code," Certegy settlement files for 12/30 thru 1/02 did not process, causing a 1-day delay to Merchant funds. 
The issue was resolved at 3:15 PM CT after a successful index rebuild and processing of settlement batch files.",Unknown,2023-01-03 21:23:47,2023,Unknown
"SecureAccess and eZDisclosure 

TBS, BASE2000, EFT Services – Norcross, EFT Services - St. Pete, EFT Services - Brown Deer, EFT Services - New Berlin",BSG,Other,FIS,Priority 4,Application,3rd party integration,SecurLock Manager and eZDisclosure applications are unavailable,FIS,Solved (Permanently),Security Incident,external,SecurLOCK Manage and eZDisclosure were unavailable due to a security issue. Root cause is under investigation.,FSIRT,2023-01-08 21:58:13,2023,Core Banking
Direct Link ,BSG,Other,FIS,Priority 4,Server,Self-service,DirectLink / AMX observing intermittent failures for Check Deposit,FIS,Solved (workaround),Undetermined,code,Check Deposit functionality for Direct Link was intermittently unavailable for single client Amex. Root cause is under investigation. ,"Needs improvement client reported.

OOM (Out of Memory) Alerts 
SPLUNK - Application Team
",2023-01-15 00:39:51,2023,Other
"H2H. Batch files, and webAdmin. ",BSG,Other,FIS,Priority 3,Network,Manual Monitoring,California Host systems unavailable.,FIS,Solved (Permanently),Configuration issue,change deployment,California Host system services for clients and cardholders were unavailable due to router hardware failure in BDOC. ,Should have been received to Global NOC support. A problem task will be opened to confirm.,2023-01-15 19:50:55,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Network,Self-service,Horizon and Image center unreachable for a single client (Rollstone),FIS,Solved (Permanently),Connectivity issue,change validation,"SD WAN team performed fireware update via CH23000112999, which caused async routing due to a duplicate route. ",Unknown,2023-01-26 16:03:23,2023,Unknown
"D1-OAO, Online Account Open",BSG,No Known Alert,FIS,Priority 3,Application,Self-service,Online Banking New Account Application Errors,FIS,Solved (Permanently),Application issue,code,Online Banking clients were unable to open new accounts. Root cause under investigation.,Unknown,2023-01-09 16:34:25,2023,Digital
Fraud Navigator ,BSG,No Known Alert,FIS,Priority 4,Application,Self-service,Fraud Navigator / TD Bank instance has been experiencing transaction timeouts.,FIS,Solved (Permanently),Undetermined,performance,Fraud Navigator for TD Bank instance experienced transaction timeouts. Root cause is under investigation.,Unknown,2023-01-15 19:33:18,2023,Security
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Network,Self-service,ATMS unavailable / Bank of Labor multiple locations,FIS,Solved (workaround),Configuration issue,configuration,Bank of Labor (CSS Client) ATMs were unavailable due to a missing NAT configuration on Phoenix Router after a failover.  No client impact.   ,Unknown,2023-01-17 18:27:59,2023,Unknown
eZCard,BSG,Other,FIS,Priority 3,Application,Self-service,eZCard / Intermittent API timeouts,FIS,Solved (Permanently),Undetermined,performance,API calls timed out for clients on the eZCard application due to database blocking sessions. Root cause is under investigation. ,SQL DBA ,2023-01-18 17:47:38,2023,Other
"Real Time Payments (RTP), Modern Banking Platform (MBP), Business eBanking (BeB), Mobile, Digital One for First Hawaiian Bank",BSG,Other,FIS,Priority 3,Application,Alert,Real-Time Payments / Intermittent transaction failures.,FIS,Solved (Permanently),Hardware failure,hardware,First Hawaiian Bank experienced high response times when processing through applications connecting to Phoenix DC. Root cause is under investigation. ,Splunk and Dynatrace,2023-01-19 10:21:45,2023,Digital
FIS CardPro Connect,BSG,No Known Alert,FIS,Priority 3,Server,Self-service,CardPro Connect / Some clients reporting intermittent issue accessing the application,FIS,Solved (Permanently),Change induced,certificate,Intermittent CardPro unavailability due to an improperly bound SSL on a certificate.,Unknown,2023-01-13 17:34:24,2023,Cards
"The most recently reported status of the impacted applications is broken down by Business Segment below:

BSG: 
Dispute Resolution Center (DRC) - Recovered
Real-time Data Exchange (RTDX) - Recovered
ServiceView, - Recovered
ImageCentre,  - Recovered ISH
Navigator - Recovered
Client Portal - Recovered
Digital One Flex, - Recovered
Digital One OAO - Good 
Cardholder IVR - Recovered
ACH Tracker  - Recovered
BancPac - Recovered 
eDelivery - Recovered
FLO  Recovered 
HORIZON - Recovered
Bankway- Recovered
Connections CRM- Recovered 
Base2000 API - Recovered
eZCard Retail - Recovered 
Real Time Lending Platform- Recovered 
Norcross MoveIT- Recovered 
Profile- Recovered 
Prepaid Sunrise - Recovered
NICE Engage/CXone - Recovered
CardPro - Recovered 
Mercury On Demand - Recovered
Consumer eBanking (CeB) - Recovered
Decision Solutions - Discovery - Good
Decision Solutions - CaseVue - Good
Certegy Check Processing - Good

CM: 
Charlotte - Recovered
Auto Finance - Recovered
Default Manager  - Recovered 
AutoSuite Dealer Finance - Recovered
Investments - Recovered
Investments BPO - Recovered
Statutory - Recovered
ProCede and partially FormWorks BPaaS – Recovered

MS: 
ValuTec Gift Card - Recovered","BSG, CM, MS",Spectrum,FIS,Priority 1,Application,Email,Network latency in Little Rock impacting multiple applications,FIS,Solved (workaround),Connectivity issue,unknown,Little Rock Data Center experienced network issues affecting different services. Root cause is still under investigation.,Network team,2023-02-09 05:20:31,2023,Digital
Image Centre,BSG,No Known Alert,FIS,Priority 4,Application,Phone,"Image Centre / Single client, Apex Bank file transmission issue",FIS,Solved (Permanently),False Positive,build/migration,Apex Bank experienced file transmission issue due to missing NATs after UCE to MIT SDWAN conversion.,Unknown,2023-02-18 07:20:30,2023,Other
"Decision solutions - Discovery Application Intermittent Vendor callout failures for Idology (IDA Application) and LexisNexis (IDV Application)
EAS - connectivity break alerts
Digital One (D1) - Drop in traffic
Modern Banking Platform (MBP) - drop in traffic
Mobile - Response time spikes
OLB Flex - drop in traffic
Zelle Addpayment - intermittent response time spike",BSG,Other,FIS,Priority 3,Application,Email,BDOC / Some applications observed drop in traffic or increased response times,FIS,Solved (Permanently),Connectivity issue,hardware,Applications in BDOC datacenter experienced intermittent issues due to HA switchover on Gen3 load balancer. Root cause is under investigation. ,NOC Team received the alerts.,2023-02-20 07:00:03,2023,Digital
"BSG:
Dispute Resolution Center (DRC) – Recovered
Real-time Data Exchange (RTDX) - Recovered
ServiceView - Recovered
ImageCentre - Recovered
Navigator – Recovered 08:42 CT
Client Portal - Recovered
Digital One Flex – Recovered 08:39 CT
Digital One OAO for CFG – Recovered 08:38 CT
Cardholder IVR - Recovered 08:42 CT
ACH Tracker - Recovered
BancPac - Recovered 08:55 CT
eDelivery - Recovered
FLO - Recovered 08:47 CT
HORIZON Recovered – 08:45 CT
Bankway - Recovered 08:45 CT
Connections CRM - Recovered 08:52 CT – reporting impact again
eZCard Retail - Recovered
Norcross MoveIT - Recovered 08:40 CT
Profile for Ally, Amex, RBC, GSB, BBD, PPF, SCW- Recovered
Profile for Purepoint – Recovered
CardPro - Recovered 08:54 CT
Mercury On Demand - Recovered 08:55 CT
Mercury Core Online ATM/Debit – Recovered 08:43 CT
Consumer eBanking (CeB) - Recovered 08:42 CT
Decision Solution Recovered 08:40 CT
Systematics Client Cadence Bank Recovered 08:56 CT
Forensic Signature Verification OASIS Recovered 08:40 CT
Issueless Positive Pay, SAND - Recovered 08:40 CT
MISER - Recovered 08:12 CT
Certegy Check – Recovered 08:42 CT
Data Placement Manager (DPR) - Recovered 08:50 CT
 
CM:
Charlotte - Recovered
Auto Finance - Recovered 08:42 CT
Default Manager for Client VCI – Recovered 08:54 CT
AutoSuite Dealer Finance – Recovered 08:42 CT
Investments - Recovered 08:46 CT
Investments BPO - Recovered 08:46 CT
Statutory - Recovered 08:46 CT
ProCede and partially FromWorks BPaaS - Recovered
","BSG, CM",Other,FIS,Priority 1,Network,Self-service,Network latency in Little Rock impacting multiple applications,FIS,Solved (Permanently),Connectivity issue,unknown,Network issues impacted applications in the Little Rock data center. The root cause is under investigation.,Various application and network received alerts indicating an issue.  ,2023-02-22 17:18:35,2023,Digital
Horizon Classic,BSG,No Known Alert,FIS,Priority 5,Network,Self-service,Horizon Classic (GUI/CORE) users were unable to use Connections CRM (Connections.fisglobal.com).,FIS,Solved (Permanently),Application issue,configuration,"Horizon Classic (GUI/CORE) users were unable to use Connections CRM (Connections.fisglobal.com) after a security block was performed on FIS reverse proxies in LR, Horizon Classic users were unable to access, and use the Connections CRM (client relationship Management) product. Emergency firewall change (change ticket# CH23001226637) was implemented to allow for Horizon Classic (core) LPARs to reach the Internal VIP which is preferred and allowed to mitigate the issue. ",Unknown,2023-01-12 20:23:36,2023,Core Banking
"IDP Cloud 5, EBT Edge Web Application",BSG,Other,external,Priority 3,Security,3rd party integration,IDP and EBT / Active Remote Code Execution Threat on the IDP Cloud 5 environment.,FIS,Solved (Permanently),Security Incident,external,Alerts received for an IDP and EBT / Active Remote Code Execution Threat on the IDP Cloud 5 environment. Root cause is under investigation.,IdP and EBT teams received alerts.,2023-01-15 21:31:21,2023,Other
Vicor Receivables Information Delivery System (RIDS),BSG,Other,tbd,Priority 3,Application,Self-service,Vicor RIDS production computers unavailable,FIS,Solved (Permanently),Undetermined,configuration,Vicor Receivables Information Delivery System (RIDS) production computers were unavailable due to a network issue.,Leona Hopfensperger team,2023-01-23 20:35:00,2023,Other
Unspecified Applications,BSG,Other,tbd,Priority 5,General Technical,Self-service,IVR / Cardholders unable to reset PIN when calling IVR ,FIS,Solved (workaround),Data issue,human error,10 FIs were unable to set PINs for instant cards within the IVR in a timely manner due to a known AP-CIMS sync cycle timeframe.,Allicia Goodman,2023-02-17 21:26:53,2023,Unknown
Real Time Lending ,BSG,No Known Alert,FIS,Priority 3,General Technical,Self-service,RTLP - Some clients unable to connect ,FIS,Solved (workaround),Change induced,change validation, Real Time Lending was unavailable for clients due to an internal certificate change. ,Unknown,2023-01-04 18:50:01,2023,Other
BenefitCAL Cardholder Portal,BSG,Other,FIS,Priority 4,Application,Self-service,Government Services - EBT (CA Cardholder Portal) / Host to Host slowness for single client CA,FIS,Solved (Permanently),Undetermined,performance,BenefitCAL portal was unavailable for California EBT cardholders. The root cause is still under investigation.,Application Team - SPLUNK,2023-01-13 01:34:39,2023,Other
EBT and WIC POS Devices.,BSG,No Known Alert,fis vendor,Priority 4,Application,Self-service,Government Services - EBT / WIC POS Devices were failing impacting transaction processing ,FIS,Solved (Permanently),Connectivity issue,scan,FIS-managed POS terminals unable to process EBT cardholder transactions due to high memory usage on server. ,Unknown,2023-01-13 21:11:39,2023,Other
